CIDADE;UF;"//*[@id=""mainForm:estados""]";"//*[@id=""mainForm:municipios""]"
ALFENAS;MG;//*[@id='mainForm:estados']/option[9];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Alfenas')]
ALMIRANTE TAMANDARE;PR;//*[@id='mainForm:estados']/option[11];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Almirante Tamandaré')]
AQUIDAUANA;MS;//*[@id='mainForm:estados']/option[8];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Aquidauana')]
ARAGUAINA;TO;//*[@id='mainForm:estados']/option[16];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Araguaina')]
BARBACENA;MG;//*[@id='mainForm:estados']/option[9];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Barbacena')]
BARRA DO PIRAI;RJ;//*[@id='mainForm:estados']/option[12];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Barra do Piraí')]
BENTO GONÇALVES;RS;//*[@id='mainForm:estados']/option[13];//*[@id='mainForm:municipios']//option[contains(text(),'Município de Bento Gonçalves')]
BOMBINHAS;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Bombinhas')]
BRAÇO DO NORTE;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Braço do Norte')]
BRUMADINHO;MG;//*[@id='mainForm:estados']/option[9];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Brumadinho')]
CACHOEIRAS DE MACACU;RJ;//*[@id='mainForm:estados']/option[12];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Cachoeiras de Macacu')]
CAPAO DA CANOA;RS;//*[@id='mainForm:estados']/option[13];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Capão da Canoa')]
CAPINZAL;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Capinzal')]
CARMO DO RIO CLARO ;MG;//*[@id='mainForm:estados']/option[9];//*[@id='mainForm:municipios']//option[contains(text(),'Município Carmo do Rio Claro - Prefeitura')]
CHAPECO;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Chapecó')]
COMODORO;MT;//*[@id='mainForm:estados']/option[7];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal Comodoro')]
CONGONHAS;MG;//*[@id='mainForm:estados']/option[9];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Congonhas')]
CORNELIO PROCOPIO;PR;//*[@id='mainForm:estados']/option[11];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Cornélio Procópio')]
CORURIPE;AL;//*[@id='mainForm:estados']/option[3];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Coruripe')]
CRICIUMA;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Criciúma')]
CRUZ MACHADO;PR;//*[@id='mainForm:estados']/option[11];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Cruz Machado')]
CURITIBANOS;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Curitibanos')]
DOIS CORREGOS;SP;//*[@id='mainForm:estados']/option[15];//*[@id='mainForm:municipios']//option[contains(text(),'Municipio de Dois Córregos')]
FORMIGA;MG;//*[@id='mainForm:estados']/option[9];//*[@id='mainForm:municipios']//option[contains(text(),'Municipio de Formiga')]
FRAIBURGO;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Fraiburgo')]
GOIOERE;PR;//*[@id='mainForm:estados']/option[11];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Goioerê')]
GRAMADO;RS;//*[@id='mainForm:estados']/option[13];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Gramado')]
GRAVATAL;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal Gravatal')]
IMBITUBA;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Imbituba')]
JOAÇABA;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Joaçaba')]
LAGES;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura do Município de Lages')]
LAGOA DA PRATA;MG;//*[@id='mainForm:estados']/option[9];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Lagoa da Prata')]
LAGUNA;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Laguna')]
MAGE;RJ;//*[@id='mainForm:estados']/option[12];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Mage')]
MANDIRITUBA;PR;//*[@id='mainForm:estados']/option[11];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Mandirituba')]
MARAVILHA;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Maravilha')]
MARIANA;MG;//*[@id='mainForm:estados']/option[9];//*[@id='mainForm:municipios']//option[contains(text(),'Município de Mariana')]
MOCOCA;SP;//*[@id='mainForm:estados']/option[15];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Mococa')]
NAVEGANTES;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Navegantes')]
ORLEANS;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura de Orleans')]
OURO BRANCO;MG;//*[@id='mainForm:estados']/option[9];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal Ouro Branco')]
PALMAS;PR;//*[@id='mainForm:estados']/option[11];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Palmas')]
PARAGUAÇU;MG;//*[@id='mainForm:estados']/option[9];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal Paraguaçu')]
PARANAVAI;PR;//*[@id='mainForm:estados']/option[11];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Paranavaí')]
PARATY;RJ;//*[@id='mainForm:estados']/option[12];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal Paraty')]
PINHEIRAL;RJ;//*[@id='mainForm:estados']/option[12];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Pinheiral')]
PORTO UNIAO;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Porto União')]
QUILOMBO;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Município de Quilombo')]
RIO BONITO;RJ;//*[@id='mainForm:estados']/option[12];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Rio Bonito')]
RIO BRILHANTE;MS;//*[@id='mainForm:estados']/option[8];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Rio Brilhante')]
RIO LARGO;AL;//*[@id='mainForm:estados']/option[3];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Rio Largo')]
RIO NEGRINHO;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Rio Negrinho')]
SAO BENTO DO SUL;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de São Bento do Sul')]
SAO BORJA;RS;//*[@id='mainForm:estados']/option[13];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de São Borja')]
SAO JOAO BATISTA;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de São João Batista')]
SAO JOAQUIM;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de São Joaquim')]
SAO JOSE;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de São José')]
SAO LOURENCO DO OESTE;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de São Lourenço do Oeste')]
SAO MATEUS DO SUL;PR;//*[@id='mainForm:estados']/option[11];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de São Mateus do Sul')]
SAO MIGUEL DO OESTE;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de São Miguel do Oeste')]
TARAUACA;AC;//*[@id='mainForm:estados']/option[2];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal Tarauacá')]
TIJUCAS;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Tijucas')]
UNIAO DA VITORIA;PR;//*[@id='mainForm:estados']/option[11];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de União da Vitória')]
URUSSANGA;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Urussanga')]
VALENÇA;RJ;//*[@id='mainForm:estados']/option[12];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Valenca')]
VARZEA GRANDE;MT;//*[@id='mainForm:estados']/option[7];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Várzea Grande')]
VILA RICA;MT;//*[@id='mainForm:estados']/option[7];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal Vila Rica')]
WENCESLAU BRAZ;PR;//*[@id='mainForm:estados']/option[11];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Wenceslau Braz')]
XAXIM;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Município de Xaxim')]
NAZARE PAULISTA;SP;//*[@id='mainForm:estados']/option[15];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Nazaré Paulista')]
CERRO AZUL;PR;//*[@id='mainForm:estados']/option[11];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal Cerro Azul')]
SANTO AMARO DA IMPERATRIZ;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Município de Santo Amaro da Imperatriz')]
GAROPABA;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Garopaba')]
BITURUNA;PR;//*[@id='mainForm:estados']/option[11];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Bituruna')]
PALMITOS;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Município de Palmitos - Prefeitura')]
OTACILIO COSTA;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal Otacílio Costa')]
DIONISIO CERQUEIRA;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Dionísio Cerqueira')]
ITAPIRANGA;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Itapiranga')]
GENERAL CARNEIRO;PR;//*[@id='mainForm:estados']/option[11];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de General Carneiro')]
COCAL DO SUL;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal Cocal do Sul')]
ENGENHEIRO BELTRAO;PR;//*[@id='mainForm:estados']/option[11];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Engenheiro Beltrao')]
PORTO BELO;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Porto Belo')]
TIJUCAS DO SUL;PR;//*[@id='mainForm:estados']/option[11];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Tijucas do Sul')]
NOVA VENEZA;SC;//*[@id='mainForm:estados']/option[14];//*[@id='mainForm:municipios']//option[contains(text(),'Prefeitura Municipal de Nova Veneza')]
